기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2016	동작구	사당5동	163	-	255	143	211	15	30	5	14	-	-
2016	동작구	대방동	651	-	1,072	575	897	53	124	23	51	-	-
2016	동작구	신대방1동	230	-	302	217	283	12	17	1	2	-	-
2016	동작구	신대방2동	224	-	327	197	278	23	45	4	4	-	-
2016	동작구	흑석동	407	-	575	361	490	36	67	10	18	-	-
2016	동작구	노량진1동	435	-	570	390	489	36	65	9	16	-	-
2016	동작구	사당2동	277	-	380	247	330	23	41	7	9	-	-
2016	동작구	기타	-	16	418	-	-	-	-	-	-	16	418
2016	관악구	소계	8,771	36	13,039	7,209	9,714	1,259	2,414	303	469	36	442
2016	관악구	보라매동	461	-	710	383	535	69	154	9	21	-	-
2016	관악구	청림동	324	-	439	270	350	43	74	11	15	-	-
2016	관악구	행운동	556	-	768	454	569	89	174	13	25	-	-
2016	관악구	낙성대동	189	-	267	160	214	23	43	6	10	-	-
2016	관악구	중앙동	217	-	284	179	223	31	50	7	11	-	-
2016	관악구	인헌동	227	-	305	189	245	25	45	13	15	-	-
2016	관악구	남현동	102	-	130	85	104	14	23	3	3	-	-
2016	관악구	서원동	349	-	502	284	381	52	101	13	20	-	-
2016	관악구	신원동	423	-	607	346	471	57	109	20	27	-	-
2016	관악구	서림동	370	-	532	275	346	74	156	21	30	-	-
2016	관악구	신사동	442	-	661	376	526	54	115	12	20	-	-
