,읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수,새누리당,더민주
262,장위3동,성북구,157511.02764944485,17983,628,580,425,141.7,1994.2,2574.4
263,석관동,성북구,420006.4295265066,19680,2137,1665,1258,197.1,5420.1,6078.3
264,풍납1동,송파구,504675.5765031315,21273,752,697,586,185.6,3246.1,3404.1
265,풍납2동,송파구,796125.1592897078,15817,1168,811,551,100.0,5096.5,4401.1
266,방이1동,송파구,530975.1637860239,33262,1382,431,289,94.8,3208.4,2812.0
267,방이2동,송파구,842647.7788475871,32251,2940,795,665,146.0,3342.6,4505.8
268,오륜동,송파구,608202.0692304096,6071,522,310,217,79.0,3834.7,2774.1
269,송파1동,송파구,840815.167019806,33419,2535,687,518,134.4,3350.3,4335.4
270,송파2동,송파구,671604.0082546929,40019,893,518,305,96.9,4105.4,3700.7
271,잠실4동,송파구,719251.9157769991,19288,495,597,469,63.4,5589.2,4494.3
272,잠실6동,송파구,563351.3060768218,6258,2620,357,251,104.8,4401.7,2736.9
273,거여1동,송파구,426741.3471953918,26155,839,610,389,157.8,2004.6,3031.6
274,거여2동,송파구,548079.5408453132,32640,905,941,607,153.3,3742.5,3984.1
275,마천1동,송파구,669803.5475116097,36800,960,1228,986,173.2,4705.5,4954.1
276,마천2동,송파구,653149.285638091,23240,1352,1216,708,201.4,3887.5,4350.7
277,오금동,송파구,1316876.2781417954,24857,2378,1415,888,117.5,5669.4,7381.7
278,가락본동,송파구,897336.7739187359,25091,3587,746,569,115.5,3431.3,4764.4
279,가락2동,송파구,1090404.0375297002,35891,1869,926,425,74.6,3893.9,6191.4
280,문정1동,송파구,687390.1908413678,38805,1370,598,317,117.6,2957.0,3815.0
281,장지동,송파구,1096769.9522998868,25469,1388,1489,740,89.3,6560.3,7140.9
282,위례동,송파구,909586.3371886407,11308,533,752,249,26.4,6682.2,6159.2
283,석촌동,송파구,1102074.8812750424,36589,2570,1058,884,129.6,2209.0,5055.4
284,삼전동,송파구,1055295.05303958,35200,2080,969,878,115.0,1675.0,6067.4
285,가락1동,송파구,874734.5613761038,832,2800,14,11,91.5,1687.1,152.4
286,문정2동,송파구,965754.2821558936,13700,5153,525,298,133.2,2882.6,3163.5
287,잠실본동,송파구,954244.1938340412,31655,3037,842,618,134.9,3328.5,4939.2
288,잠실2동,송파구,1184863.9243721669,17004,757,564,379,38.4,5094.3,6301.1
289,잠실3동,송파구,1162100.956406045,24528,1589,712,561,86.2,3564.5,4495.5
290,잠실7동,송파구,329355.711645415,17282,202,200,196,163.0,867.8,1444.3
291,목1동,양천구,416833.9076996364,23020,2943,668,388,47.1,5457.9,5994.3
292,목2동,양천구,408915.4783857944,30829,1145,1043,647,108.4,4797.6,5109.7
293,목3동,양천구,300445.97781782213,43832,1233,866,585,131.2,4635.2,3708.8
294,목4동,양천구,351175.84955305856,47875,1352,875,583,89.6,4238.8,5316.6
295,목5동,양천구,557444.4426628097,23972,1537,743,453,49.0,7576.4,6724.1
296,신정1동,양천구,280104.70120341174,30967,1148,577,382,67.4,4188.5,4278.4
297,신정2동,양천구,268876.1088157507,40360,1110,728,454,82.7,3779.5,4679.3
298,신정6동,양천구,328303.27176455123,26563,758,470,243,58.2,4814.3,3945.4
299,신정7동,양천구,401503.309306772,24953,1024,1390,1517,120.6,6559.4,5657.2
300,신월1동,양천구,285271.151804902,34429,1853,1215,881,184.5,4408.4,5007.0
301,신월2동,양천구,291125.5970844802,37464,1223,1039,861,128.0,4018.3,4981.7
302,신월3동,양천구,218652.49731533352,19754,955,948,756,164.7,3399.0,3976.2
303,신월4동,양천구,247470.38760505329,37183,1174,906,458,103.4,3914.3,4317.8
304,신월5동,양천구,202906.5059092839,22839,1013,736,432,115.3,3102.3,3416.4
